kind,name,category,sub_category,prefix_str,layout_kind,checkLen,skipLen,version,ton_commit_hash,ton_file_path,ton_line_number,ton_function_name
tvm,SDPPFXREV,cell,cell_cmp,C70B,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,267,exec_bin_cs_cmp
tvm,SDSFX,cell,cell_cmp,C70C,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,267,exec_bin_cs_cmp
tvm,SDSFXREV,cell,cell_cmp,C70D,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,267,exec_bin_cs_cmp
tvm,SDPSFX,cell,cell_cmp,C70E,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,267,exec_bin_cs_cmp
tvm,SDPSFXREV,cell,cell_cmp,C70F,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,267,exec_bin_cs_cmp
tvm,SDCNTLEAD0,cell,cell_cmp,C710,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,259,exec_iun_cs_cmp
tvm,SDCNTLEAD1,cell,cell_cmp,C711,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,259,exec_iun_cs_cmp
tvm,SDCNTTRAIL0,cell,cell_cmp,C712,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,259,exec_iun_cs_cmp
tvm,SDCNTTRAIL1,cell,cell_cmp,C713,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,259,exec_iun_cs_cmp
tvm,NEWC,cell,cell_serialize,C8,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,334,exec_new_builder
tvm,ENDC,cell,cell_serialize,C9,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,341,exec_builder_to_cell
tvm,ENDCST,cell,cell_serialize,CD,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,484,exec_store_builder_as_ref_rev
tvm,STBREF,cell,cell_serialize,CF11,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,461,exec_store_builder_as_ref
tvm,STB,cell,cell_serialize,CF13,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,553,exec_store_builder
tvm,STREFR,cell,cell_serialize,CF14,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,438,exec_store_ref_rev
tvm,STBREFR,cell,cell_serialize,CF15,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,484,exec_store_builder_as_ref_rev
tvm,STSLICER,cell,cell_serialize,CF16,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,530,exec_store_slice_rev
tvm,STBR,cell,cell_serialize,CF17,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,576,exec_store_builder_rev
tvm,STREFQ,cell,cell_serialize,CF18,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,415,exec_store_ref
tvm,STBREFQ,cell,cell_serialize,CF19,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,461,exec_store_builder_as_ref
tvm,STSLICEQ,cell,cell_serialize,CF1A,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,507,exec_store_slice
tvm,STBQ,cell,cell_serialize,CF1B,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,553,exec_store_builder
tvm,STREFRQ,cell,cell_serialize,CF1C,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,438,exec_store_ref_rev
tvm,STBREFRQ,cell,cell_serialize,CF1D,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,484,exec_store_builder_as_ref_rev
tvm,STSLICERQ,cell,cell_serialize,CF1E,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,530,exec_store_slice_rev
tvm,STBRQ,cell,cell_serialize,CF1F,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,576,exec_store_builder_rev
tvm,ENDXC,cell,cell_serialize,CF23,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,349,exec_builder_to_special_cell
tvm,BDEPTH,cell,cell_serialize,CF30,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,704,exec_int_builder_func
tvm,BBITS,cell,cell_serialize,CF31,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,704,exec_int_builder_func
tvm,BREFS,cell,cell_serialize,CF32,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,704,exec_int_builder_func
tvm,BBITREFS,cell,cell_serialize,CF33,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,712,exec_2int_builder_func
tvm,BREMBITS,cell,cell_serialize,CF35,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,704,exec_int_builder_func
tvm,BREMREFS,cell,cell_serialize,CF36,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,704,exec_int_builder_func
tvm,BREMBITREFS,cell,cell_serialize,CF37,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,712,exec_2int_builder_func
tvm,BCHKREFS,cell,cell_serialize,CF3A,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,737,exec_builder_chk_bits_refs
tvm,BCHKBITREFS,cell,cell_serialize,CF3B,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,737,exec_builder_chk_bits_refs
tvm,BCHKREFSQ,cell,cell_serialize,CF3E,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,737,exec_builder_chk_bits_refs
tvm,BCHKBITREFSQ,cell,cell_serialize,CF3F,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,737,exec_builder_chk_bits_refs
tvm,STZEROES,cell,cell_serialize,CF40,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,752,exec_store_same
tvm,STONES,cell,cell_serialize,CF41,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,752,exec_store_same
tvm,STSAME,cell,cell_serialize,CF42,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,752,exec_store_same
tvm,CTOS,cell,cell_deserialize,D0,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,883,exec_cell_to_slice
tvm,ENDS,cell,cell_deserialize,D1,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,946,exec_slice_chk_empty
tvm,LDREF,cell,cell_deserialize,D4,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1013,exec_load_ref
tvm,LDREFRTOS,cell,cell_deserialize,D5,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1036,exec_load_ref_rev_to_slice
tvm,SDCUTFIRST,cell,cell_deserialize,D720,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1167,exec_slice_op_args
tvm,SDSKIPFIRST,cell,cell_deserialize,D721,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1167,exec_slice_op_args
tvm,SDCUTLAST,cell,cell_deserialize,D722,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1167,exec_slice_op_args
tvm,SDSKIPLAST,cell,cell_deserialize,D723,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1167,exec_slice_op_args
tvm,SDSUBSTR,cell,cell_deserialize,D724,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1181,exec_slice_op_args2
tvm,SCUTFIRST,cell,cell_deserialize,D730,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1181,exec_slice_op_args2
tvm,SSKIPFIRST,cell,cell_deserialize,D731,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1181,exec_slice_op_args2
tvm,SCUTLAST,cell,cell_deserialize,D732,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1181,exec_slice_op_args2
tvm,SSKIPLAST,cell,cell_deserialize,D733,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1181,exec_slice_op_args2
tvm,SUBSLICE,cell,cell_deserialize,D734,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1246,exec_subslice
tvm,SPLIT,cell,cell_deserialize,D736,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1260,exec_split
tvm,SPLITQ,cell,cell_deserialize,D737,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1260,exec_split
tvm,XCTOS,cell,cell_deserialize,D739,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,891,exec_cell_to_slice_maybe_special
tvm,XLOAD,cell,cell_deserialize,D73A,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,901,exec_load_special_cell
tvm,XLOADQ,cell,cell_deserialize,D73B,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,901,exec_load_special_cell
tvm,SCHKBITS,cell,cell_deserialize,D741,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1285,exec_slice_chk_op_args
tvm,SCHKREFS,cell,cell_deserialize,D742,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1285,exec_slice_chk_op_args
tvm,SCHKBITREFS,cell,cell_deserialize,D743,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1301,exec_slice_chk_op_args2
tvm,SCHKBITSQ,cell,cell_deserialize,D745,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1285,exec_slice_chk_op_args
tvm,SCHKREFSQ,cell,cell_deserialize,D746,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1285,exec_slice_chk_op_args
tvm,SCHKBITREFSQ,cell,cell_deserialize,D747,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1301,exec_slice_chk_op_args2
tvm,PLDREFVAR,cell,cell_deserialize,D748,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1000,exec_preload_ref
tvm,SBITS,cell,cell_deserialize,D749,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1318,exec_slice_bits_refs
tvm,SREFS,cell,cell_deserialize,D74A,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1318,exec_slice_bits_refs
tvm,SBITREFS,cell,cell_deserialize,D74B,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1318,exec_slice_bits_refs
tvm,LDZEROES,cell,cell_deserialize,D760,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1371,exec_load_same
tvm,LDONES,cell,cell_deserialize,D761,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1371,exec_load_same
tvm,LDSAME,cell,cell_deserialize,D762,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1371,exec_load_same
tvm,SDEPTH,cell,cell_deserialize,D764,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1396,exec_slice_depth
tvm,CDEPTH,cell,cell_deserialize,D765,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1388,exec_cell_depth
tvm,CLEVEL,cell,cell_deserialize,D766,simple,16,16,6,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1404,exec_cell_level
tvm,CLEVELMASK,cell,cell_deserialize,D767,simple,16,16,6,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1412,exec_cell_level_mask
tvm,CHASHIX,cell,cell_deserialize,D770,simple,16,16,6,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1420,exec_cell_hash_i
tvm,CDEPTHIX,cell,cell_deserialize,D771,simple,16,16,6,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/cellops.cpp,1438,exec_cell_depth_i
tvm,EXECUTE,continuation,continuation_jump,D8,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/contops.cpp,33,exec_execute
tvm,JMPX,continuation,continuation_jump,D9,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/contops.cpp,53,exec_jmpx
tvm,RET,continuation,continuation_jump,DB30,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/contops.cpp,66,exec_ret
tvm,RETALT,continuation,continuation_jump,DB31,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/contops.cpp,77,exec_ret_alt
tvm,RETBOOL,continuation,continuation_jump,DB32,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/contops.cpp,82,exec_ret_bool
tvm,CALLCC,continuation,continuation_jump,DB34,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/contops.cpp,87,exec_callcc
tvm,JMPXDATA,continuation,continuation_jump,DB35,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/contops.cpp,96,exec_jmpx_data
tvm,CALLXVARARGS,continuation,continuation_jump,DB38,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/contops.cpp,114,exec_callx_varargs
tvm,RETVARARGS,continuation,continuation_jump,DB39,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/contops.cpp,123,exec_ret_varargs
tvm,JMPXVARARGS,continuation,continuation_jump,DB3A,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/contops.cpp,130,exec_jmpx_varargs
tvm,CALLCCVARARGS,continuation,continuation_jump,DB3B,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/contops.cpp,139,exec_callcc_varargs
tvm,RETDATA,continuation,continuation_jump,DB3F,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/contops.cpp,209,exec_ret_data
