kind,name,category,sub_category,implemented,tested,notes
tvm,JMPXVARARGS,continuation,continuation_jump,false,false,
tvm,CALLCCVARARGS,continuation,continuation_jump,false,false,
tvm,RETDATA,continuation,continuation_jump,false,false,
tvm,RUNVMX,continuation,continuation_jump,false,false,
tvm,IFRET,continuation,continuation_cond,false,false,
tvm,IFNOTRET,continuation,continuation_cond,false,false,
tvm,IF,continuation,continuation_cond,false,false,
tvm,IFNOT,continuation,continuation_cond,false,false,
tvm,IFJMP,continuation,continuation_cond,false,false,
tvm,IFNOTJMP,continuation,continuation_cond,false,false,
tvm,IFELSE,continuation,continuation_cond,false,false,
tvm,CONDSEL,continuation,continuation_cond,false,false,
tvm,CONDSELCHK,continuation,continuation_cond,false,false,
tvm,IFRETALT,continuation,continuation_cond,false,false,
tvm,IFNOTRETALT,continuation,continuation_cond,false,false,
tvm,REPEAT,continuation,continuation_cond_loop,false,false,
tvm,REPEATEND,continuation,continuation_cond_loop,false,false,
tvm,UNTIL,continuation,continuation_cond_loop,false,false,
tvm,UNTILEND,continuation,continuation_cond_loop,false,false,
tvm,WHILE,continuation,continuation_cond_loop,false,false,
tvm,WHILEEND,continuation,continuation_cond_loop,false,false,
tvm,AGAIN,continuation,continuation_cond_loop,false,false,
tvm,AGAINEND,continuation,continuation_cond_loop,false,false,
tvm,REPEATBRK,continuation,continuation_cond_loop,false,false,
tvm,REPEATENDBRK,continuation,continuation_cond_loop,false,false,
tvm,UNTILBRK,continuation,continuation_cond_loop,false,false,
tvm,UNTILENDBRK,continuation,continuation_cond_loop,false,false,
tvm,WHILEBRK,continuation,continuation_cond_loop,false,false,
tvm,WHILEENDBRK,continuation,continuation_cond_loop,false,false,
tvm,AGAINBRK,continuation,continuation_cond_loop,false,false,
tvm,AGAINENDBRK,continuation,continuation_cond_loop,false,false,
tvm,RETURNVARARGS,continuation,continuation_change,false,false,
tvm,SETCONTVARARGS,continuation,continuation_change,false,false,
tvm,SETNUMVARARGS,continuation,continuation_change,false,false,
tvm,BLESS,continuation,continuation_change,false,false,
tvm,BLESSVARARGS,continuation,continuation_change,false,false,
tvm,PUSHCTRX,continuation,continuation_change,false,false,
tvm,POPCTRX,continuation,continuation_change,false,false,
tvm,SETCONTCTRX,continuation,continuation_change,false,false,
tvm,SETCONTCTRMANYX,continuation,continuation_change,false,false,
tvm,BOOLAND,continuation,continuation_change,false,false,
tvm,BOOLOR,continuation,continuation_change,false,false,
tvm,COMPOSBOTH,continuation,continuation_change,false,false,
tvm,ATEXIT,continuation,continuation_change,false,false,
tvm,ATEXITALT,continuation,continuation_change,false,false,
tvm,SETEXITALT,continuation,continuation_change,false,false,
tvm,THENRET,continuation,continuation_change,false,false,
tvm,THENRETALT,continuation,continuation_change,false,false,
tvm,INVERT,continuation,continuation_change,false,false,
tvm,BOOLEVAL,continuation,continuation_change,false,false,
tvm,SAMEALT,continuation,continuation_change,false,false,
tvm,SAMEALTSAVE,continuation,continuation_change,false,false,
tvm,TRY,exception,,false,false,
tvm,STDICT,dictionary,,false,false,
tvm,SKIPDICT,dictionary,,false,false,
tvm,LDDICTS,dictionary,,false,false,
tvm,PLDDICTS,dictionary,,false,false,
tvm,LDDICT,dictionary,,false,false,
tvm,PLDDICT,dictionary,,false,false,
tvm,LDDICTQ,dictionary,,false,false,
tvm,PLDDICTQ,dictionary,,false,false,
tvm,PFXDICTSET,dictionary,,false,false,
tvm,PFXDICTREPLACE,dictionary,,false,false,
tvm,PFXDICTADD,dictionary,,false,false,
tvm,PFXDICTDEL,dictionary,,false,false,
tvm,PFXDICTGETQ,dictionary,,false,false,
tvm,PFXDICTGET,dictionary,,false,false,
tvm,PFXDICTGETJMP,dictionary,,false,false,
tvm,PFXDICTGETEXEC,dictionary,,false,false,
tvm,NOP,stack,,false,false,
tvm,SWAP,stack,,false,false,
tvm,DUP,stack,,false,false,
tvm,OVER,stack,,false,false,
tvm,DROP,stack,,false,false,
tvm,NIP,stack,,false,false,
tvm,ROT,stack,,false,false,
tvm,ROTREV,stack,,false,false,
tvm,PICK,stack,,false,false,
tvm,ROLL,stack,,false,false,
tvm,ROLLREV,stack,,false,false,
tvm,BLKSWX,stack,,false,false,
tvm,REVX,stack,,false,false,
tvm,DROPX,stack,,false,false,
tvm,TUCK,stack,,false,false,
tvm,XCHGX,stack,,false,false,
tvm,DEPTH,stack,,false,false,
tvm,CHKDEPTH,stack,,false,false,
tvm,ONLYTOPX,stack,,false,false,
tvm,ONLYX,stack,,false,false,
tvm,ACCEPT,basic_gas,,false,false,
tvm,SETGASLIMIT,basic_gas,,false,false,
tvm,GASCONSUMED,basic_gas,,false,false,
tvm,COMMIT,basic_gas,,false,false,
tvm,NOW,config,,false,false,
tvm,BLOCKLT,config,,false,false,
tvm,LTIME,config,,false,false,
